Date,Time
2019-01-29,14:47:13
2019-01-29,14:47:13
2019-01-29,14:47:13
2019-01-29,14:47:14
2019-01-29,14:47:14
2019-01-29,14:47:14
2019-01-29,14:47:14
2019-01-29,14:47:14
2019-01-29,14:47:14
2019-01-29,14:47:15
2019-01-29,14:47:15
2019-01-29,14:47:15
2019-01-29,14:47:15
2019-01-29,14:47:15
2019-01-29,14:47:15
2019-01-29,14:47:16
2019-01-29,14:47:16
2019-01-29,14:47:16
2019-01-29,14:47:16
2019-01-29,14:47:17
2019-01-29,14:47:17
2019-01-29,14:47:17
2019-01-29,14:47:17
2019-01-29,14:47:23
2019-01-29,14:47:23
2019-01-29,14:47:26
2019-01-29,14:47:26
2019-01-29,14:47:26
2019-01-29,14:47:26
2019-01-29,14:47:27
2019-01-29,14:47:27
2019-01-29,14:47:27
2019-01-29,14:47:27
2019-01-29,14:47:27
2019-01-29,14:47:27
2019-01-29,14:47:28
2019-01-29,14:47:31
2019-01-29,14:47:31
2019-01-29,14:47:31
2019-01-29,14:47:31
2019-01-29,14:47:32
2019-01-29,14:47:32
2019-01-29,14:47:32
2019-01-29,14:47:32
2019-01-29,14:47:32
2019-01-29,14:47:32
2019-01-29,14:47:45
